,Tweets
90,"1: Trump deserves accolades &amp; apologies. Today, many trying to take him down saying he is no longer relevant.  Be Leary of ANY R…"
91,  is dropping to his knees and begging  to come back to Twitter 🤣🤣🤣
92,     It's Truth Social.
93," was right about everything.

The 2020 Election was rigged and stolen.

Trump won by a landslide.

January 6th is justified.

Democrats assassinated Ashley Babbit.

Jan 6th prisoners need to be released immediately.

Every Democrat/RINO needs to be arrested!"
94,I pray for  today the same way I pray for  . May the hand of God protect him from those who wish to do him harm.
95, It’s proof the Democrats stole the 2020 election just like  told us. MAGA
96,"8484        again...45  did not lead any insurrection-- the leaders of the Jan 6th dustup were the U.S. intel community.... false flag op, assisted by 
standing down capital security, - curios timing huh?
  _Jordan  "
97,6      All the countries and institutions which supported PAK and Left-Islamist agenda will have to face the outcome of their deeds. They still continue to not talk about the atrocities of the special ideology.
98,:     Elon vs the FBI 
99,"    Election interference at it's best.
The election was stolen...over 10% of the people would have never voted for Biden had they known the Hunter labtop was REAL."
100,:  MILLIONS of Families are waking up missing their loved ones that could have been saved by hydroclorquin&amp;Zp…
101, Plot?! That’s bare fisted politics. If  wants the nomination he’ll have to fight for it.
102,Make no mistake.  is coming for . The best he can possibly hope for is to share a cell with his beloved . 
103,    Whats the end game ? Your strategy here has got to be way more than revealing seemingly concealed information.
104,"2         I had no opinion. Enough red materialized to relive D’s of the house and nearly cost them the senate. That’s not nothing. Let me guess, you’re probably part of the crowd who believes republican boogeymen are coming for social security too  "
105,"  56256539  101 1138  47886845  1  _ultra  @1Shock1962   80_amanda 2  703    1954 67  142   _Shaw  _goosey  2 88 8       They still do every day, but there is no court cases to prove the Democrats continuous evil attacks on Trump. 
Trump is NOT A SAINT. 
No MAGA thinks he is. They are just desperate for the lies to end and the NWO to die."
106,"In the beginning was   
 

   
"
107,__Native     I agree but the change is vast and for some they keep trying to see how far they can get away with things. It wont be the end and yes we can only hope things will get better but people who will abuse a system should not stay in power and getting to the root is needed.
108,": Our first duty, and our highest loyalty, is to the citizens of the United States. We will not rest until our border is…"
109," When is all this nonsense going to end? I love America but I am sad to be an American. There's all this proof of all kinds of the proof of everything the Democrats have done, but nothing has happened. Are they truly above the law? Keep fighting for us. We need u"
110, Interesting how in the end  was right about EVERYTHING.
111,1978: Good night Twitter Family . Pray for the world and each other. Dark forces are rising but in the end good will prevail.…
112,"18:  2    WOW!
WE THE PEOPLE, AKA- THE CONSTITUTION, the longest run…"
